           Site    Lat    Lon  Altitude
0  Klerefontein -30.97  21.98      1000
-30:58:12.0 21:58:48.0 80.0
AlpPhe	00:26:16.9	-42:18:22.0	2015/8/2 02:17:40	78:45:26.7	South	11.24
IotEri	02:40:40.0	-39:51:20.2	2015/8/2 04:31:31	81:11:10.5	South	8.81
The1Eri	02:58:15.7	-40:18:16.9	2015/8/2 04:49:03	80:43:57.5	South	9.27
The2Eri	02:58:16.3	-40:18:15.8	2015/8/2 04:49:03	80:43:58.6	South	9.27
DelHor	04:10:50.5	-41:59:37.0	2015/8/2 06:01:21	79:01:17.1	South	10.98
AlpHor	04:14:00.1	-42:17:39.8	2015/8/2 06:04:30	78:43:10.6	South	11.28
AlpCae	04:40:33.7	-41:51:50.0	2015/8/2 06:30:58	79:08:25.4	South	10.86
EtaCol	05:59:08.8	-42:48:55.1	2015/8/2 07:49:18	78:09:32.6	South	11.84
ZetPup	08:03:35.0	-40:00:11.9	2015/8/2 09:53:28	80:55:25.7	South	9.08
PsiVel	09:30:42.0	-40:28:00.1	2015/8/2 11:20:12	80:26:06.9	South	9.56
NuCen	13:49:30.3	-41:41:16.1	2015/8/2 15:38:52	79:12:24.2	South	10.79
MuCen	13:49:37.0	-42:28:26.0	2015/8/2 15:38:59	78:25:14.9	South	11.58
PhiCen	13:58:16.3	-42:06:02.9	2015/8/2 15:47:37	78:47:43.6	South	11.20
ChiCen	14:06:02.8	-41:10:46.9	2015/8/2 15:55:23	79:43:04.6	South	10.28
EtaCen	14:35:30.4	-42:09:28.1	2015/8/2 16:24:48	78:44:48.3	South	11.25
KapCen	14:59:09.7	-42:06:15.1	2015/8/2 16:48:25	78:48:23.6	South	11.19
DelLup	15:21:22.3	-40:38:51.0	2015/8/2 17:10:35	80:16:10.0	South	9.73
GamLup	15:35:08.5	-41:10:00.8	2015/8/2 17:24:20	79:45:15.9	South	10.25
OmeLup	15:38:03.1	-42:34:03.0	2015/8/2 17:27:15	78:21:18.1	South	11.64
Zet1Sco	16:53:59.6	-42:21:43.9	2015/8/2 18:43:02	78:35:13.3	South	11.41
Zet2Sco	16:54:34.9	-42:21:41.0	2015/8/2 18:43:37	78:35:17.0	South	11.41
KapSco	17:42:29.3	-39:01:48.0	2015/8/2 19:31:22	81:56:13.9	South	8.06
Iot1Sco	17:47:35.0	-40:07:36.8	2015/8/2 19:36:28	80:50:33.1	South	9.16
Iot2Sco	17:50:11.2	-40:05:26.2	2015/8/2 19:39:03	80:52:47.4	South	9.12
TheCrA	18:33:30.1	-42:18:45.0	2015/8/2 20:22:16	78:40:31.3	South	11.32
ZetCrA	19:03:06.8	-42:05:43.1	2015/8/2 20:51:48	78:54:13.8	South	11.10
DelCrA	19:08:20.9	-40:29:48.1	2015/8/2 20:57:00	80:30:14.5	South	9.50
BetCrA	19:10:01.7	-39:20:26.9	2015/8/2 20:58:39	81:39:36.9	South	8.34
AlpSgr	19:23:53.2	-40:36:58.0	2015/8/2 21:12:29	80:23:25.4	South	9.61
IotSgr	19:55:15.7	-41:52:05.9	2015/8/2 21:43:46	79:08:58.6	South	10.85
The1Mic	21:20:45.6	-40:48:34.9	2015/8/2 23:08:57	80:14:00.7	South	9.77
LamGru	22:06:06.8	-39:32:35.9	2015/8/2 23:54:07	81:30:33.8	South	8.49
Mu1Gru	22:15:36.8	-41:20:48.1	2015/8/2 00:07:34	79:42:29.7	South	10.29
RhoGru	22:43:30.0	-41:24:51.8	2015/8/2 00:35:30	79:38:40.8	South	10.36
IotPhe	23:35:04.6	-42:36:54.0	2015/8/2 01:26:40	78:26:55.7	South	11.55
closing the file
